ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,responseTime
"104.27.16.109","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","18","100","18","18","2025-08-28T12:12:30.742Z","1404"
"104.254.140.86","elite","AS209242","US","Cloudflare London, LLC","10","Armis","80","http","10","100","18","18","2025-08-28T12:12:29.970Z","4679"
"104.26.5.192","elite","AS13335","CA","Cloudflare, Inc.","10","Cloudflare, Inc.","80","http","19","100","18","18","2025-08-28T12:12:28.634Z","1931"
"104.27.62.72","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","49","100","17","17","2025-08-28T12:12:27.489Z","4711"
"104.254.140.52","elite","AS209242","US","Cloudflare London, LLC","10","Armis","80","http","17","100","16","16","2025-08-28T12:12:26.867Z","73"
"104.27.13.179","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","30","100","18","18","2025-08-28T12:12:26.078Z","2483"
"104.254.140.41","elite","AS209242","US","Cloudflare London, LLC","4","Armis","80","http","17","100","16","16","2025-08-28T12:12:23.826Z","1977"
"104.27.107.77","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","25","100","18","18","2025-08-28T12:12:22.659Z","4190"
"104.254.140.133","elite","AS209242","US","Cloudflare London, LLC","4","Armis","80","http","28","100","17","17","2025-08-28T12:12:22.152Z","3694"
"104.27.12.250","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","23","100","18","18","2025-08-28T12:12:21.616Z","4223"
"104.254.140.125","elite","AS209242","US","Cloudflare London, LLC","7","Armis","80","http","19","100","17","17","2025-08-28T12:12:20.701Z","905"
"104.26.15.62","elite","AS13335","CA","Cloudflare, Inc.","11","Cloudflare, Inc.","80","http","11","100","18","18","2025-08-28T12:12:19.531Z","3411"
"104.27.10.214","elite","AS13335","CA","Cloudflare, Inc.","3","Cloudflare, Inc.","80","http","12","100","17","17","2025-08-28T12:12:18.141Z","3190"
"104.27.10.209","elite","AS13335","CA","Cloudflare, Inc.","4","Cloudflare, Inc.","80","http","11","100","16","16","2025-08-28T12:12:16.747Z","1212"
"104.27.10.199","elite","AS13335","CA","Cloudflare, Inc.","10","Cloudflare, Inc.","80","http","13","100","15","15","2025-08-28T12:12:15.189Z","4101"
"104.27.200.110","elite","AS13335","CA","Cloudflare, Inc.","10","Cloudflare, Inc.","80","http","27","100","16","16","2025-08-28T12:12:14.142Z","472"
"104.254.140.186","elite","AS209242","US","Cloudflare London, LLC","4","Armis","80","http","11","100","18","18","2025-08-28T12:12:14.737Z","4581"
"104.27.103.118","elite","AS13335","CA","Cloudflare, Inc.","10","Cloudflare, Inc.","80","http","22","100","16","16","2025-08-28T12:12:13.948Z","2690"
"104.25.99.69","elite","AS13335","CA","Cloudflare, Inc.","10","Cloudflare, Inc.","80","http","26","100","17","17","2025-08-28T12:12:11.238Z","2098"
"104.26.15.101","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","17","100","17","17","2025-08-28T12:12:11.038Z","2484"
"104.26.14.169","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","18","100","16","16","2025-08-28T12:12:10.137Z","3482"
"104.26.13.101","elite","AS13335","CA","Cloudflare, Inc.","4","Cloudflare, Inc.","80","http","24","100","17","17","2025-08-28T12:12:09.547Z","4890"
"104.25.97.105","elite","AS13335","CA","Cloudflare, Inc.","11","Cloudflare, Inc.","80","http","17","100","17","17","2025-08-28T12:12:09.745Z","2386"
"104.27.43.247","elite","AS13335","CA","Cloudflare, Inc.","10","Cloudflare, Inc.","80","http","18","100","17","17","2025-08-28T12:12:08.957Z","4602"
"104.254.140.158","elite","AS209242","US","Cloudflare London, LLC","10","Armis","80","http","24","100","17","17","2025-08-28T12:12:06.877Z","1980"
"104.25.80.204","elite","AS13335","CA","Cloudflare, Inc.","10","Cloudflare, Inc.","80","http","10","100","18","18","2025-08-28T12:12:03.564Z","2202"
"104.254.140.153","elite","AS209242","US","Cloudflare London, LLC","7","Armis","80","http","17","100","18","18","2025-08-28T12:12:03.735Z","2803"
"104.26.12.166","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","30","100","18","18","2025-08-28T12:12:00.974Z","1284"
"104.26.11.57","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","19","100","17","17","2025-08-28T12:11:59.475Z","4293"
"104.26.10.57","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","18","100","17","17","2025-08-28T12:11:58.867Z","3333"
"104.26.7.173","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","19","100","17","17","2025-08-28T12:11:56.466Z","3203"
"104.27.3.19","elite","AS13335","CA","Cloudflare, Inc.","4","Cloudflare, Inc.","80","http","32","100","18","18","2025-08-28T12:11:55.042Z","383"
"104.25.90.4","elite","AS13335","CA","Cloudflare, Inc.","10","Cloudflare, Inc.","80","http","25","100","17","17","2025-08-28T12:11:52.466Z","4927"
"104.254.140.92","elite","AS209242","US","Cloudflare London, LLC","7","Armis","80","http","17","100","18","18","2025-08-28T12:11:52.651Z","4490"
"104.25.54.187","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","10","100","17","17","2025-08-28T12:11:49.262Z","4703"
"104.254.140.53","elite","AS209242","US","Cloudflare London, LLC","11","Armis","80","http","18","100","18","18","2025-08-28T12:11:46.562Z","1115"
"104.27.12.78","elite","AS13335","CA","Cloudflare, Inc.","4","Cloudflare, Inc.","80","http","11","100","18","18","2025-08-28T12:11:45.787Z","2976"
